year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2011,Scottsbluff P.D.,Scotts Bluff,29,2,1,4,0,0,,,,,"15,173",2,
2011,Seward P.D.,Seward,10,1,1,1,0,0,,,,,"7,026",1.6,2
2011,Sidney P.D.,Cheyenne,14,0,0,2,0,1,,,,,"6,817",2.1,
2011,So. Sioux City P.D.,Dakota,26,1,0,1,0,2,,,,,"13,472",2,
2011,Wayne P.D.,Wayne,5,1,2,2,0,0,3,1,1,1,"5,711",1.1,
2011,York P.D.,York,13,0,1,5,0,0,1,,,,"7,835",1.7,
2012,Alliance P.D.,Box Butte,15,2,0,8,0,0,1,,,,"8,608",2,
2012,Beatrice P.D.,Gage,18,4,4,6,0,0,,,,,"12,388",1.8,
2012,Bellevue P.D.,Sarpy,86,8,5,9,0,8,2,,2,1,"51,678",1.8,
2012,Blair P.D.,Washington,15,0,1,2,2,2,2,,,,"8,069",1.9,
2012,Chadron P.D.,Dawes,11,2,4,2,0,1,1,,,1,"5,901",2.2,
2012,Columbus P.D.,Platte,32,3,2,14,0,0,1,,1,,"22,537",1.6,
2012,Crete P.D.,Saline,9,2,2,4,0,1,,,,,"7,077",1.6,3
2012,Fremont P.D.,Dodge,35,2,1,9,0,6,2,,,,"26,641",1.4,4
2012,Gering P.D.,Scotts Bluff,14,1,0,3,0,0,,,,,"8,578",1.7,
2012,Grand Island P.D.,Hall,70,6,1,9,0,7,6,5,4,,"49,583",1.5,
2012,Hastings P.D.,Adams,32,5,0,11,0,6,2,,1,,"24,961",1.5,3
2012,Holdrege P.D.,Phelps,9,0,1,5,0,0,1,,,,"5,531",1.6,
2012,Kearney P.D.,Buffalo,51,2,4,8,0,0,1,,1,,"31,392",1.7,
2012,LaVista P.D.,Sarpy,32,2,2,3,0,1,,,,,"16,242",2.1,
2012,Lexington P.D.,Dawson,17,1,0,2,0,0,,,,,"10,329",1.7,
2012,Lincoln P.D.,Lancaster,273,47,28,66,0,10,,,,,"264,175",1.2,
2012,McCook P.D.,Red Willow,14,1,1,4,1,2,1,,,1,"7,735",1.9,
2012,Nebraska City P.D.,Otoe,13,1,0,1,0,0,2,,,,"7,366",1.9,
2012,Norfolk P.D.,Madison,36,1,3,14,0,0,1,,,,"24,418",1.5,
2012,North Platte P.D.,Lincoln,40,1,4,21,0,1,1,,,,"24,806",1.7,
2012,Omaha P.D.,Douglas,646,149,38,110,36,25,4,,25,,"417,970",1.9,
2012,Papillion P.D.,Sarpy,34,5,1,3,0,1,,,,,"19,466",2,
2012,Plattsmouth P.D.,Cass,13,1,0,3,0,0,,,,,"6,534",2.1,2
2012,Ralston P.D.,Sarpy,11,2,0,2,0,0,,,,,"6,077",2.1,
2012,Schuyler P.D.,Colfax,7,1,0,2,0,0,,,,,"6,313",1.3,
2012,Scottsbluff P.D.,Scotts Bluff,26,2,1,4,0,0,4,,,,"15,174",1.8,
2012,Seward P.D.,Seward,10,1,1,1,1,0,,,,,"6,995",1.6,
2012,Sidney P.D.,Cheyenne,14,0,0,2,0,1,,,,,"6,789",2.1,
2012,So. Sioux City P.D.,Dakota,26,1,0,1,0,2,,,,,"13,386",2,
2012,Wayne P.D.,Wayne,7,0,4,1,1,0,2,,,,"5,652",1.2,
2012,York P.D.,York,13,0,1,5,0,0,1,,,,"7,857",1.7,
2013,Alliance P.D.,Box Butte,15,1,0,6,0,0,0,0,1,0,"8,510",1.9,0
2013,Beatrice P.D.,Gage,18,3,4,6,0,2,0,0,0,0,"12,055",1.7,0
2013,Bellevue P.D.,Sarpy,88,6,6,9,0,8,2,0,1,1,"53,023",1.8,0
2013,Blair P.D.,Washington,15,0,1,2,2,2,2,1,0,0,"7,978",1.9,0
2013,Chadron P.D.,Dawes,12,2,3,3,0,1,0,0,0,0,"5,845",2.4,0
2013,Columbus P.D.,Platte,33,3,2,14,0,0,0,0,0,1,"22,624",1.6,0
2013,Crete P.D.,Saline,9,2,4,1,3,2,1,0,0,0,"7,238",1.6,0
2013,Fremont P.D.,Dodge,33,2,0,4,1,0,4,0,1,0,"26,098",1.3,3
2013,Gering P.D.,Scotts Bluff,14,0,0,3,0,0,1,0,0,0,"8,480",1.6,0
2013,Grand Island P.D.,Hall,76,8,1,13,0,6,3,0,0,1,"50,441",1.7,0
2013,Hastings P.D.,Adams,33,5,1,13,0,4,0,0,0,0,"25,012",1.5,3
2013,Holdrege P.D.,Phelps,10,0,2,4,0,0,0,0,0,0,"5,548",1.8,0
2013,Kearney P.D.,Buffalo,51,2,4,9,0,0,0,0,0,0,"32,113",1.7,0
2013,LaVista P.D.,Sarpy,31,2,1,4,0,1,1,0,0,0,"17,790",2,0
2013,Lexington P.D.,Dawson,17,1,0,2,0,0,1,0,0,0,"10,204",1.7,0
2013,Lincoln P.D.,Lancaster,270,51,47,88,0,12,0,0,15,0,"267,565",1.2,0
2013,McCook P.D.,Red Willow,14,2,1,4,0,2,0,0,0,0,"7,639",2.1,0
2013,Nebraska City P.D.,Otoe,12,1,0,1,0,0,0,0,0,0,"7,269",1.8,0
2013,Norfolk P.D.,Madison,38,0,4,16,0,0,0,0,0,0,"24,362",1.6,0
2013,North Platte P.D.,Lincoln,39,1,3,21,0,1,2,0,1,0,"24,551",1.6,0
2013,Omaha P.D.,Douglas,624,143,36,98,37,23,37,0,23,0,"425,076",1.8,0
2013,Papillion P.D.,Sarpy,35,4,1,3,0,1,0,0,0,0,"21,274",2,0
2013,Plattsmouth P.D.,Cass,13,1,0,3,0,0,0,0,0,0,"6,422",2.1,2
2013,Ralston P.D.,Sarpy,12,1,0,2,0,0,0,0,0,0,"7,662",2.1,0
2013,Schuyler P.D.,Colfax,7,1,0,2,0,0,0,0,0,0,"6,303",1.3,0
2013,Scottsbluff P.D.,Scotts Bluff,26,3,1,4,0,0,3,0,0,0,"15,057",1.9,0
2013,Seward P.D.,Seward,10,1,1,1,1,0,0,0,0,0,"7,063",1.6,0
2013,Sidney P.D.,Cheyenne,14,0,0,2,0,1,0,0,0,0,"6,831",2.1,0
2013,So. Sioux City P.D.,Dakota,26,1,0,1,0,1,0,0,0,0,"13,407",2,0
2013,Wayne P.D.,Wayne,6,0,3,2,1,0,2,0,0,0,"5,656",1.1,0
2013,York P.D.,York,15,0,1,5,0,0,0,0,0,0,"7,875",1.9,0
2014,Alliance P.D.,Box Butte,14,1,0,0,6,1,1,0,1,0,8502,2.5,0
