year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2015,North Platte PD,Lincoln,37,2,3,21,0,2,2.0,0.0,1.0,0.0,"24,490",1.6,0.0
2015,Omaha PD,Douglas,675,151,40,97,42,25,7.0,0.0,18.0,0.0,"438,465",1.9,0.0
2015,Papillion PD,Sarpy,35,5,1,3,0,1,2.0,0.0,0.0,0.0,"22,606",1.8,0.0
2015,Plattsmouth PD,Cass,13,1,0,3,0,0,0.0,0.0,0.0,0.0,"6,460",2.2,3.0
2015,Ralston PD,Sarpy,13,1,0,2,0,0,0.0,0.0,0.0,0.0,"7,586",1.8,0.0
2015,Schuyler PD,Colfax,5,0,0,2,0,0,3.0,0.0,0.0,0.0,"6,122",0.8,0.0
2015,Scottsbluff PD,Scotts Bluff,27,3,1,4,0,0,1.0,0.0,0.0,0.0,"15,009",2.0,0.0
2015,Seward PD,Seward,11,1,0,1,2,0,0.0,0.0,0.0,0.0,"7,155",1.7,0.0
2015,Sidney PD,Cheyenne,12,2,0,2,0,0,0.0,0.0,0.0,0.0,"6,853",2.0,0.0
2015,So Sioux City PD,Dakota,26,1,0,1,0,1,0.0,0.0,0.0,0.0,"13,436",2.0,0.0
2015,Wayne PD,Wayne,7,0,2,1,1,1,1.0,0.0,2.0,0.0,"5,511",1.3,0.0
2015,York PD,York,15,0,1,5,0,0,0.0,0.0,0.0,0.0,"8,012",1.9,0.0
2016,Alliance PD,Box Butte,12,2,0,7,0,1,2.0,0.0,1.0,0.0,"8,529",1.6,0.0
2016,Beatrice PD,Gage,18,4,6,7,0,2,0.0,0.0,0.0,0.0,"11,965",1.8,0.0
2016,Bellevue PD,Sarpy,84,8,5,11,0,4,5.0,0.0,0.0,0.0,"54,595",1.7,0.0
