County,Agency,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Red Willow,Nebraska State Patrol,4,1,1,4,2,1,3,1,0,1,1,0,0,1,1,0,1,22
Richardson,Richardson CO. S.O.,75,77,69,44,37,36,35,79,116,82,12,2,0,78,4,24,33,803
Richardson,Falls City P.D.,119,137,119,124,103,124,140,88,97,100,102,90,71,86,95,73,68,1736
Richardson,Nebraska State Patrol,1,0,0,0,0,1,1,0,2,4,1,0,0,0,1,1,0,12
Rock,Rock CO. S.O.,25,22,22,29,15,21,22,18,9,7,5,12,7,3,1,0,0,218
Rock,Nebraska State Patrol,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,6
Saline,Saline CO. S.O.,67,80,49,132,169,137,152,126,122,110,69,116,92,110,48,65,78,1722
Saline,Wilber P.D.,24,32,18,23,25,0,23,13,17,40,57,40,18,33,23,39,7,432
Saline,Crete P.D.,283,263,285,277,292,335,258,296,349,287,254,287,325,340,352,292,250,5025
Saline,Nebraska State Patrol,3,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,8
Sarpy,Sarpy CO. S.O.,1097,1131,1156,1178,1181,1412,1431,1429,1329,1365,1370,1370,1164,1076,1213,1292,1547,21741
Sarpy,Bellevue P.D.,2042,2144,2306,2192,2133,2270,2234,2354,2484,2302,2267,2034,1893,1727,1716,1736,1782,35616
Sarpy,Papillion P.D.,455,612,528,541,530,562,527,588,627,641,536,505,629,557,464,541,562,9405
Sarpy,La Vista P.D.,520,605,561,732,628,643,645,512,469,508,406,450,389,339,397,318,367,8489
Sarpy,Metro. Comm. College . Sarpy Co.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarpy,Nebraska State Patrol,6,3,2,2,7,0,1,4,3,2,3,3,2,4,3,1,4,50
Saunders,Saunders CO. S.O.,153,176,212,198,126,113,105,105,98,76,95,143,167,99,194,162,121,2343
Saunders,Wahoo P.D.,82,94,118,158,144,102,100,119,104,104,86,132,93,77,116,69,78,1776
Saunders,Ashland P.D.,57,48,45,20,41,35,29,16,26,21,19,24,16,33,26,30,28,514
Saunders,Nebraska State Patrol,5,3,2,3,1,6,1,0,0,0,0,1,0,4,0,0,2,28
Scotts Bluff,Scotts Bluff CO. S.O.,231,209,146,189,202,185,187,172,154,155,142,173,165,196,207,166,179,3058
Scotts Bluff,Scottsbluff P.D.,1122,1255,1225,1224,1332,1277,1310,1206,1189,1049,1148,1008,779,952,815,814,912,18617
Scotts Bluff,Gering P.D.,178,187,222,208,277,295,263,309,264,264,255,205,192,226,245,158,197,3945
Scotts Bluff,Mitchell P.D.,44,36,43,30,23,26,29,59,59,0,27,38,38,48,26,18,44,588
Scotts Bluff,Nebraska State Patrol,8,4,0,4,8,9,0,9,2,9,2,9,5,5,6,0,6,86
Seward,Seward CO. S.O.,143,203,151,127,95,119,123,86,42,27,0,0,47,50,71,78,52,1414
Seward,Seward P.D.,205,145,199,193,154,161,152,116,161,154,123,144,158,176,125,92,91,2549
