year,department,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2013,North Platte P.D.,39,1,3,21,0,1,2,0,1,0,"24,551",1.6,0
2013,Omaha P.D.,624,143,36,98,37,23,37,0,23,0,"425,076",1.8,0
2013,Papillion P.D.,35,4,1,3,0,1,0,0,0,0,"21,274",2,0
2013,Plattsmouth P.D.,13,1,0,3,0,0,0,0,0,0,"6,422",2.1,2
2013,Ralston P.D.,12,1,0,2,0,0,0,0,0,0,"7,662",2.1,0
2013,Schuyler P.D.,7,1,0,2,0,0,0,0,0,0,"6,303",1.3,0
2013,Scottsbluff P.D.,26,3,1,4,0,0,3,0,0,0,"15,057",1.9,0
2013,Seward P.D.,10,1,1,1,1,0,0,0,0,0,"7,063",1.6,0
2013,Sidney P.D.,14,0,0,2,0,1,0,0,0,0,"6,831",2.1,0
2013,So. Sioux City P.D.,26,1,0,1,0,1,0,0,0,0,"13,407",2,0
2013,Wayne P.D.,6,0,3,2,1,0,2,0,0,0,"5,656",1.1,0
2013,York P.D.,15,0,1,5,0,0,0,0,0,0,"7,875",1.9,0
2014,Alliance P.D.,14,1,0,0,6,1,1,0,1,0,8502,2.5,0
2014,Beatrice P.D.,17,3,0,0,10,2,0,0,0,0,12092,2.5,0
2014,Bellevue P.D.,87,6,0,0,16,6,3,0,1,1,54251,2,0
2014,Blair P.D.,15,1,2,0,3,2,1,3,0,0,7986,2.4,0
2014,Chadron P.D.,14,0,0,0,7,0,0,0,0,0,5773,3.6,0
2014,Columbus P.D.,32,4,0,0,14,1,0,0,0,1,22614,2.2,0
2014,Crete P.D.,9,3,3,0,5,2,0,0,0,0,7171,2.4,0
2014,Fremont P.D.,33,1,1,0,5,1,5,1,1,0,26322,1.5,3
2014,Gering P.D.,16,0,0,0,3,0,0,0,0,0,8469,2.2,0
2014,Grand Island P.D.,80,7,0,0,16,7,0,0,0,1,50999,2,0
2014,Hastings P.D.,32,4,0,0,16,2,2,0,0,0,25070,2.1,0
2014,Holdrege P.D.,10,0,0,0,5,0,0,0,0,0,5536,2.7,0
2014,Kearney P.D.,49,2,0,0,13,0,3,0,0,0,32513,2,0
2014,LaVista P.D.,32,3,0,0,5,1,0,0,0,0,17955,2.2,0
2014,Lexington P.D.,19,0,0,0,2,0,0,0,0,0,10195,2.1,0
2014,Lincoln P.D.,266,54,0,0,140,11,3,0,15,0,271208,1.7,0
2014,McCook P.D.,13,2,0,0,5,2,1,0,0,0,7697,2.6,0
2014,Nebraska City P.D.,13,1,0,0,1,0,0,0,0,0,7243,2.1,0
2014,Norfolk P.D.,37,0,0,0,17,0,3,0,0,0,24588,2.2,0
2014,North Platte P.D.,39,2,0,0,25,1,0,0,1,0,24490,2.7,0
2014,Omaha P.D.,646,147,33,8,135,26,11,0,23,0,438465,2.1,0
2014,Papillion P.D.,34,4,0,0,4,1,2,0,0,0,22606,1.9,0
2014,Plattsmouth P.D.,13,1,0,0,3,0,0,0,0,0,6460,2.6,3
2014,Ralston P.D.,13,1,0,0,2,0,0,0,0,0,7586,2.1,0
2014,Schuyler P.D.,6,1,0,0,2,0,2,0,0,0,6122,1.5,0
2014,Scottsbluff P.D.,27,3,0,0,5,0,1,0,0,0,15009,2.3,0
2014,Seward P.D.,9,1,1,0,2,0,1,0,0,0,7155,1.7,0
2014,Sidney P.D.,11,1,0,0,2,0,2,0,0,0,6853,2,0
2014,So. Sioux City P.D.,26,1,0,0,1,1,0,0,0,0,13436,2.1,0
2014,Wayne P.D.,7,0,1,0,3,1,1,0,0,0,5511,1.8,0
2014,York P.D.,15,0,0,0,6,0,0,0,0,0,8012,2.6,0
