"","year","department","county","ft_so_m","ft_so_f","ft_c_m","ft_c_f","pt_so","pt_c","us_so_ft","us_so_pt","us_c_ft","us_c_pt","pop_covered","so_per_1000","num_res_so","total_crime","total_so","total_c","crime_per_1000","total_so_change"
"176",2012,"Papillion PD","Sarpy",34,5,1,3,0,1,0,0,0,0,19466,2,0,629,39,4,0.0323127504366588,0
"177",2012,"Plattsmouth PD","Cass",13,1,0,3,0,0,0,0,0,0,6534,2.1,2,274,14,3,0.041934496479951,0
"178",2012,"Ralston PD","Sarpy",11,2,0,2,0,0,0,0,0,0,6077,2.1,0,304,13,2,0.0500246832318578,0
"179",2012,"Schuyler PD","Colfax",7,1,0,2,0,0,0,0,0,0,6313,1.3,0,0,8,2,0,0
"180",2012,"Scottsbluff PD","Scotts Bluff",26,2,1,4,0,0,4,0,0,0,15174,1.8,0,779,28,5,0.0513378146830104,0
"181",2012,"Seward PD","Seward",10,1,1,1,1,0,0,0,0,0,6995,1.6,0,158,11,2,0.0225875625446748,0
"182",2012,"Sidney PD","Cheyenne",14,0,0,2,0,1,0,0,0,0,6789,2.1,0,183,14,2,0.0269553689792311,0
"183",2012,"So Sioux City PD","Dakota",26,1,0,1,0,2,0,0,0,0,13386,2,0,483,27,1,0.0360824742268041,0
"184",2012,"Wayne PD","Wayne",7,0,4,1,1,0,2,0,0,0,5652,1.2,0,0,7,5,0,0
"185",2012,"York PD","York",13,0,1,5,0,0,1,0,0,0,7857,1.7,0,261,13,6,0.0332187857961054,0
"186",2013,"Alliance PD","Box Butte",15,1,0,6,0,0,0,0,1,0,8510,1.9,0,281,16,6,0.0330199764982374,-1
"187",2013,"Beatrice PD","Gage",18,3,4,6,0,2,0,0,0,0,12055,1.7,0,579,21,10,0.0480298631273331,-1
"188",2013,"Bellevue PD","Sarpy",88,6,6,9,0,8,2,0,1,1,53023,1.8,0,1727,94,15,0.0325707711747732,-1
"189",2013,"Blair PD","Washington",15,0,1,2,2,2,2,1,0,0,7978,1.9,0,205,15,3,0.025695663073452,1
"190",2013,"Chadron PD","Dawes",12,2,3,3,0,1,0,0,0,0,5845,2.4,0,309,14,6,0.0528656971770744,0
"191",2013,"Columbus PD","Platte",33,3,2,14,0,0,0,0,0,1,22624,1.6,0,664,36,16,0.0293493635077793,0
"192",2013,"Crete PD","Saline",9,2,4,1,3,2,1,0,0,0,7238,1.6,0,340,11,5,0.0469743022934512,1
"193",2013,"Fremont PD","Dodge",33,2,0,4,1,0,4,0,1,0,26098,1.3,3,1103,35,4,0.0422637750019159,-1
"194",2013,"Gering PD","Scotts Bluff",14,0,0,3,0,0,1,0,0,0,8480,1.6,0,226,14,3,0.0266509433962264,2
"195",2013,"Grand Island PD","Hall",76,8,1,13,0,6,3,0,0,1,50441,1.7,0,3013,84,14,0.059733153585377,3
"196",2013,"Hastings PD","Adams",33,5,1,13,0,4,0,0,0,0,25012,1.5,3,1375,38,14,0.0549736126659204,-2
"197",2013,"Holdrege PD","Phelps",10,0,2,4,0,0,0,0,0,0,5548,1.8,0,220,10,6,0.0396539293439077,0
"198",2013,"Kearney PD","Buffalo",51,2,4,9,0,0,0,0,0,0,32113,1.7,0,1236,53,13,0.0384890854171208,-2
"199",2013,"LaVista PD","Sarpy",31,2,1,4,0,1,1,0,0,0,17790,2,0,339,33,5,0.0190556492411467,2
"200",2013,"Lexington PD","Dawson",17,1,0,2,0,0,1,0,0,0,10204,1.7,0,439,18,2,0.0430223441787534,1
"201",2013,"Lincoln PD","Lancaster",270,51,47,88,0,12,0,0,15,0,267565,1.2,0,14439,321,135,0.0539644572346906,-1
"202",2013,"McCook PD","Red Willow",14,2,1,4,0,2,0,0,0,0,7639,2.1,0,292,16,5,0.0382248985469302,-1
"203",2013,"Nebraska City PD","Otoe",12,1,0,1,0,0,0,0,0,0,7269,1.8,0,309,13,1,0.0425092860090797,0
"204",2013,"Norfolk PD","Madison",38,0,4,16,0,0,0,0,0,0,24362,1.6,0,1063,38,20,0.0436335276249897,0
